person_ID,trip_count,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,choice,shop_trip,leis_trip,dist_fac,tt_w,tt_b,tt_c,tc_c,acc_c,acc_time_4,tt_pt,tc_pt,acc_pt,trns_pt,freq_pt,distance_3,tt_ivt_3,tc_c_3,tt_ivt_1,tt_ivt_2,tt_ivt_4,tc_pt_4,wait_4,trns_4,freq_sof,Q1.1,Q1.2,Q1.3,Q1.4,Q1.6,Q1.16.1,Q1.10,Q2.2,hh_income_cat,hh_income,Q2.5_1,Q2.5_2,Q2.5_4,Q2.5_5,Q2.6_1,Q2.6_2,Q2.7,p_income,Q3.7,Q3.8,Q3.9
U424997,26,0,1,0,1,0,0,0,0,4,0,0,7.1905,,27,,,,15.73333333,9,3.9,11,1,7,6.779,17.5,1.4,83.85,28.56666667,9,3.1,2,1,5,48,2,8,4,1,3,2,2,3,5000,0,0,0,1,1,1,3,7000,1,2,1
I1466666,27,0,1,1,1,0,0,0,0,2,0,1,8.3725,,23,22,5,6,6.15,18,3.8,6,1,15,8.613,19.71666667,4,96.18333333,24.5,22,3,2,1,8,58,2,3,5,1,1,1,4,9,18000,2,0,0,5,2,1,2,22500,2,2,2
T514142,27,1,1,1,1,0,0,0,0,2,1,0,5.0515,31,10,7,1.2,3,8.25,12,2.1,9,2,15,4.361,7.5,0.9,30.8,9.616666667,17,2.3,7.8,1,15,27,3,3,4,1,3,2,1,6,11000,1,0,0,1,2,1,3,7000,2,1,1
Q168585,27,0,0,0,0,0,1,1,1,7,1,0,9.24525,,,,,,9.516666667,,,,,,9.383,13.31666667,1.9,110.8,27.93333333,18.93333333,2.9,3.083333333,1,60,63,2,3,4,1,3,1,1,1,1000,2,0,0,1,2,1,3,2000,1,2,2
R260691,27,1,1,0,1,0,0,0,0,2,0,1,2.975,31,12,,,,4.816666667,14,3.1,5,0,7,2.645,10.61666667,0.6,32.71666667,11.76666667,14,3.1,0.016666667,0,3,33,3,5,4,1,3,2,2,9,18000,0,0,0,5,1,1,3,2000,1,2,1
X304186,27,1,1,1,1,0,0,0,0,1,0,0,2.912,32,11,8,1.4,9,6.416666667,13,1.9,5,1,3,3.07,9.733333333,0.6,32.03333333,10.4,10.9,3.1,0,0,4,52,2,11,4,1,3,1,3,9,18000,0,0,0,1,1,1,3,17500,3,2,2
T703220,27,0,0,1,1,0,0,0,0,4,0,0,50.624,,,42,11,9,7.466666667,39,7.6,5,1,60,52.601,39.95,12.1,567.0666667,153.5,49,6.6,9.016666667,2,60,22,2,6,4,1,2,1,1,9,18000,4,2,0,4,2,1,2,9500,1,1,2
D135184,27,0,0,0,0,1,1,1,1,7,1,0,2.37825,,,,,,0.983333333,,,,,,2.296,5.216666667,0.6,28.51666667,8.666666667,7,3.7,0,0,6,22,2,5,4,1,3,2,4,6,11000,3,1,0,1,2,2,3,4000,1,2,2
O1679803,27,1,1,1,1,0,0,0,0,4,0,1,4.38825,43,11,9,1.2,3,13.66666667,6,1.2,12,0,10,4.938,8.316666667,1.2,45.65,12.1,8,0.6,0,0,5,64,3,5,5,1,1,2,4,5,9000,1,1,0,2,2,1,2,2000,1,2,2
T691942,26,0,0,1,1,0,0,0,0,4,0,1,74.80625,,,72,16.2,9,14.3,65,18.5,16,1,15,75.115,47.66666667,18,739.95,237.15,71.53333333,27.2,18.73333333,1,20,60,2,4,4,1,3,2,3,4,7000,3,0,0,1,2,1,2,7000,1,1,1
H480442,27,0,0,0,0,0,0,1,1,7,0,1,12.577,,,,,,5.033333333,,,,,,12.487,15.98333333,3.2,145.7166667,41.93333333,28,14,9.833333333,1,12,70,2,1,5,1,3,1,4,4,7000,2,0,0,0,2,1,2,2000,1,1,1
O581600,27,0,0,0,0,0,1,1,1,7,0,1,5.44975,,,,,,20.6,,,,,,5.669,12.31666667,2,63.95,18.73333333,6,4.3,0,0,20,47,2,11,5,1,3,1,4,6,11000,1,0,0,5,2,1,2,9500,2,1,1
A945514,27,0,0,1,1,0,0,0,0,4,0,1,37.804,,,49,10.5,9,14.7,74,30.6,16,2,20,32.752,39.1,7.5,386.5666667,127.6166667,68,29.4,6.75,2,30,53,2,5,5,1,2,1,1,4,7000,2,2,0,5,2,1,2,7000,1,2,1
